/Users/sean/.cache/uv/archive-v0/STMO0wp8zVYYYYzNGD09W/lib/python3.13/site-packages/openpyxl/worksheet/_reader.py:329: UserWarning: Unknown extension is not supported and will be removed
  warn(msg)
band	chromosome	start	stop
10C8	X	11580772	11585750
10C9	X	11586228	11599638
10C10	X	11597748	11611652
10D1	X	11606290	11677338
10D3	X	11615097	11615840
10D4	X	11622015	11694740
10D5	X	11678970	11709951
10D6	X	11706575	11715565
10D7	X	11710120	11723854
10D8	X	11720245	11736617
10E1	X	11724246	11769508
10E2	X	11754273	11778784
10E3	X	11787381	11807117
10E4	X	11801696	11807117
10E5	X	11808506	11816551
10E6	X	11808506	11837460
10F1	X	11816898	11864754
10F2	X	11855022	11887162
10F4	X	11877737	11917260
10F6	X	11907409	11924662
10F7	X	11920004	11930850
10F8	X	11931280	11985087
11A1	X	11931280	12029032
11A2	X	12022837	12116041
11A3	X	12059795	12092272
11A4	X	12043698	12116041
11A6	X	12043698	12335214
11A7	X	12234562	12275155
11A9	X	12373118	12412181
11A10	X	12432224	12453650
11A11	X	12432224	12478431
11A12	X	12486970	12568452
11B1	X	12553124	12583193
11B2	X	12569169	12609910
11B3	X	12596047	12615780
11B4	X	12611867	12622771
11B5	X	12622212	12631111
11B6	X	12629878	12653442
11B7	X	12631605	12657834
11B8	X	12653626	12657834
11B9	X	12659415	12682554
11B10	X	12659415	12742618
11B12	X	12705854	12708841
11B13	X	12717624	12730953
11B14	X	12684203	12749785
11B15	X	12751867	12754571
11B16	X	12751867	12784958
11C1	X	12765266	12772851
11C2	X	12771844	12804232
11C4	X	12785563	12897327
11D1	X	12785563	12912070
11D2	X	12909953	12913009
11D3	X	12914844	12950417
11D4	X	12917477	12957462
11D5	X	12950436	12976231
11D6	X	12984524	13004879
11D7	X	13022198	13022949
11D8	X	13022198	13055328
11D9	X	13062072	13062167
11D10	X	12988615	13095732
11D11	X	13095571	13112462
11E1	X	12988615	13189164
11E3	X	13161714	13258490
11E6	X	13235925	13236566
11E8	X	13214409	13285632
11E9	X	13262687	13329303
11E11	X	13329824	13337705
11E12	X	13335637	13341009
11E13	X	13338318	13346102
11F1	X	13359248	13401224
11F3	X	13396899	13401224
11F4	X	13401839	13421024
11F5	X	13413242	13421024
11F8	X	13456534	13457663
12A2	X	13445903	13530249
12A3	X	13534400	13536202
12A4	X	13534400	13563359
12A6	X	13563823	13593224
12A7	X	13563823	13605651
12A8	X	13604359	13624408
12A9	X	13619276	13664568
12B2	X	13624745	13718285
12B4	X	13684380	13755406
12B10	X	13745577	13758598
12C1	X	13757179	13779488
12C4	X	13762752	13811493
12C5	X	13783714	13822307
12C6	X	13812971	13845866
12C7	X	13830741	13990527
12C8	X	13846116	13990527
12D1	X	13955236	13956574
12D2	X	13990733	14025647
12D3	X	14046772	14058889
12D4	X	14058164	14070722
12E1	X	14097599	14117810
12E2	X	14141729	14187841
12E3	X	14189516	14224732
12E4	X	14203961	14211457
12E5	X	14201362	14258595
12E6	X	14247732	14277416
12E7	X	14266367	14289393
12E8	X	14288084	14462351
12E9	X	14378806	14381416
12E10	X	14322226	14480086
12E11	X	14496135	14497240
12F1	X	14517290	14653928
12F2	X	14604012	14749376
12F3	X	14686038	14749376
12F4	X	14757531	14826073
12F5	X	14787478	14848808
12F6	X	14851005	14871181
12F7	X	14862989	14871181
13A1	X	14875370	15009989
13A5	X	14955477	15063429
13A8	X	15010137	15076220
13A9	X	15069127	15085827
13A10	X	15085159	15113744
13A11	X	15095458	15096042
13A12	X	15089682	15137311
13B1	X	15125753	15189931
13B3	X	15205807	15244913
13B4	X	15271036	15297169
13B5	X	15293031	15319074
13B6	X	15297766	15342117
13B7	X	15342857	15350021
13B8	X	15345169	15379064
13B9	X	15359101	15361061
13C1	X	15350239	15441252
13C3	X	15446179	15462441
13C4	X	15455544	15475400
13C5	X	15472804	15511223
13C7	X	15486922	15554278
13D2	X	15510877	15556045
13D3	X	15568993	15575683
13D4	X	15576355	15593534
13E1	X	15585289	15633434
13E3	X	15603283	15671029
13E5	X	15667885	15677737
13E6	X	15684947	15688857
13E7	X	15684947	15700034
13E8	X	15697494	15731935
13E12	X	15712628	15746231
13E13	X	15741343	15748971
13E14	X	15746648	15769514
13E15	X	15762956	15772985
13E16	X	15769664	15778703
13E17	X	15773171	15783710
13E18	X	15780398	15796028
13F1	X	15793721	15827682
13F5	X	15804370	15835490
13F7	X	15827986	15836923
13F9	X	15837830	15841160
13F10	X	15837830	15847858
13F12	X	15844476	15849258
13F13	X	15849731	15853175
13F14	X	15849731	15859379
13F16	X	15858134	15866175
13F17	X	15868145	15891547
13F18	X	15892116	15909676
14A1	X	15876368	15973159
14A3	X	15965947	15966038
14A4	X	15946936	15982944
14A5	X	15977967	16005812
14A6	X	15999951	16070304
14A7	X	16063738	16073568
14A8	X	16070365	16091495
14A9	X	16093059	16104946
14B1	X	15876368	16148977
14B3	X	16191134	16216750
14B6	X	16254008	16266537
14B7	X	16265242	16288533
14B8	X	16285953	16293520
14B9	X	16288810	16320370
14B12	X	16317673	16325768
14B13	X	16323286	16446993
14B14	X	16328437	16333600
14B15	X	16333612	16356482
14B17	X	16350315	16359039
14B18	X	16356696	16371547
14C1	X	16333612	16381782
14C2	X	16373086	16391438
14C3	X	16388820	16405122
14C4	X	16399782	16441296
14C6	X	16438680	16454972
14C8	X	16448665	16533096
14E1	X	16522967	16560016
14E3	X	16554627	16587172
14F1	X	16560684	16599215
14F2	X	16595136	16637414
14F3	X	16632490	16632839
14F4	X	16624012	16650309
14F5	X	16640968	16668712
14F6	X	16660898	16664455
15A1	X	16655359	16711145
15A2	X	16700446	16703884
15A3	X	16696131	16751910
15A5	X	16727304	16783434
15A7	X	16752189	16785092
15A8	X	16783933	16800710
15A9	X	16796902	16809230
15A10	X	16806047	16826494
15A11	X	16811699	16844433
15B1	X	16838173	16876544
15B3	X	16844807	16876544
15B4	X	16881347	16889635
15B5	X	16889810	16897187
15C1	X	16901767	16938209
15C4	X	16913180	16968679
15C6	X	16956232	16968679
15D1	X	16969069	17066732
15D3	X	17022304	17024042
15D6	X	17149001	17150647
15E1	X	16969069	17087675
15E2	X	17091854	17104562
15E3	X	17091854	17135988
15E5	X	17107582	17148264
15E6	X	17145557	17146759
15E7	X	17143588	17159306
15F1	X	17154110	17200705
15F2	X	17200726	17202598
15F3	X	17203112	17213977
15F4	X	17212307	17280964
15F7	X	17280918	17305475
15F8	X	17285704	17301929
16A1	X	17282496	17324175
16A2	X	16455027	16533096
16A4	X	17378376	17403278
16A5	X	17397478	17561180
16B1	X	17456169	17561180
16B4	X	17566552	17569228
16B5	X	17571854	17579229
16B6	X	17571854	17599314
16B7	X	17579861	17606879
16B9	X	17623221	17629492
16B10	X	17628164	17669371
16B12	X	17657372	17698730
16C1	X	17672458	17709653
16C5	X	17710144	17752007
16C6	X	17710144	17752007
16C10	X	17768569	17778708
16D1	X	17768569	17814011
16D3	X	17791010	17814011
16D4	X	17819155	17831094
16D5	X	17828096	17841705
16D7	X	17830828	17841705
16E1	X	17842161	17856129
16E2	X	17852958	17862775
16E4	X	17862697	17887222
16F1	X	17883718	17911097
16F2	X	17907692	17911097
16F3	X	17911462	18063247
16F4	X	18005897	18007606
16F5	X	18023870	18048720
16F6	X	17924307	18101314
16F7	X	18101970	18174744
17A1	X	18155369	18204407
17A2	X	18177612	18226076
17A3	X	18227476	18259517
17A4	X	18277233	18293059
17A5	X	18305354	18356191
17A6	X	18322958	18356191
17A7	X	18358881	18362527
17A8	X	18369811	18379854
17A9	X	18380082	18390344
17A10	X	18390498	18410144
17A11	X	18390498	18416911
17B	X	18366357	18377864
17B1	X	18422413	18479487
17B3	X	18459138	18462823
17B4	X	18443027	18483772
17B5	X	18479983	18494168
17B6	X	18494719	18505405
17C1	X	18501401	18572809
17C4	X	18565764	18587219
17C5	X	18606610	18634908
17C6	X	18624042	18647648
17C7	X	18635642	18657286
17D1	X	18653392	18726572
17D3	X	18707494	18774027
17D4	X	18764483	18781345
17D5	X	18775228	18788210
17D6	X	18786142	18806057
17E1	X	18788464	18857757
17F1	X	18858203	18863776
17F2	X	18863950	18911843
17F3	X	18900410	19028629
18A2	X	18105568	19068973
18A3	X	19077720	19167082
18A4	X	19136107	19174900
18A5	X	19171077	19187278
18A6	X	19183421	19191029
18A7	X	19190214	19201979
18B1	X	19196058	19216660
18B2	X	19220622	19235910
18B4	X	19220622	19247250
18B5	X	19245158	19252045
18B6	X	19248639	19273280
18B7	X	19261820	19276539
18B8	X	19273349	19280349
18B9	X	19277176	19298162
18C1	X	19281232	19307925
18C2	X	19310513	19348447
18C3	X	19327075	19471914
18C7	X	19353181	19494401
18C8	X	19493292	19551778
18D1	X	19557008	19569401
18D2	X	19569721	19579800
18D3	X	19569721	19618537
18D7	X	19616663	19625729
18D8	X	19623114	19638369
18D11	X	19626548	19644518
18D12	X	19643327	19652269
18D13	X	19646306	19683518
18E1	X	19676061	19706417
18E2	X	19701927	19713045
18E3	X	19706418	19730199
18E4	X	19718923	19734581
18E5	X	19731004	19748458
18F	X	19766465	19783548
18F1	X	19746041	19764874
18F2	X	19786730	19852059
18F4	X	19830215	19908108
19A2	X	19866146	19920708
19A3	X	19928416	19969323
19A4	X	20000968	20062706
19A6	X	20004680	20062706
19B1	X	20090654	20125271
19B3	X	20133579	20165830
19C1	X	20160355	20330372
19C4	X	20302015	20360046
19C5	X	20375764	20392401
19C6	X	20391447	20413581
19D1	X	20412341	20510694
19D2	X	20469955	20528043
19D3	X	20538497	20623773
19E1	X	20590252	20677063
19E2	X	20686819	20927050
19E3	X	20761071	20927050
19E4	X	20864813	20939503
19E5	X	20930972	20978868
19E6	X	20984686	20985246
19E7	X	21023390	21082391
19E8	X	21053963	21082391
19F1	X	21093844	21156621
19F2	X	21187979	21281171
19F3	X	21205310	21317522
19F4	X	21307586	21339676
19F5	X	21328613	21373145
19F6	X	21363028	21385159
20A1	X	21374002	21790731
20A2	X	21631891	21790731
20A4	X	21583802	21630148
20A5	X	21624796	21631433
20B3	X	22143102	22252340
20C1	X	22444227	22544322
20C2	X	22547097	22548056
20C3	X	22583634	22632710
20D1	X	22583634	22632710
20D2	X	22657324	22797682
20E	X	23084960	23101431
20E1	X	22764525	22766663
20E2	X	22657324	22885541
20F1	X	22824317	22885541
20F2	X	22917105	22946339
20F3	X	22958076	23016586
20F4	X	23013495	23291729
21A5	2L	7529	25155
21B1	2L	21823	102086
21B2	2L	94739	156030
21B3	2L	114726	203397
21B4	2L	159032	250823
21B5	2L	210735	271744
21B6	2L	259949	267505
21B7	2L	252589	294681
21B8	2L	273836	355566
21C1	2L	305935	387439
21C2	2L	396120	458745
21C8	2L	455531	472200
21D1	2L	458876	540560
21D2	2L	490835	492649
21D3	2L	500873	502236
21E2	2L	476220	958098
21E3	2L	987899	1048053
21E4	2L	1049674	1102504
21F1	2L	1083091	1170789
21F2	2L	1170181	1217785
21F3	2L	1219293	1296596
21F4	2L	1256417	1296596
22A1	2L	1329161	1429159
22A2	2L	1428474	1524257
22A3	2L	1555129	1626021
22A5	2L	1646932	1704682
22B1	2L	1651258	1750612
22B2	2L	1732524	1794917
22B3	2L	1821256	1858550
22B4	2L	1836538	1944289
22B6	2L	1884622	1970362
22B8	2L	1950239	2030788
22C1	2L	2009859	2109878
22C2	2L	2079919	2084419
22C3	2L	2058790	2137296
22D1	2L	2130813	2206166
22D4	2L	2203721	2236844
22D5	2L	2231106	2259730
22D6	2L	2263442	2290738
22E1	2L	2300103	2425041
22E4	2L	2424797	2425041
22F1	2L	2427050	2459823
22F3	2L	2428372	2492671
22F4	2L	2492955	2564830
23A1	2L	2562483	2627855
23A2	2L	2646030	2719431
23A3	2L	2725674	2763889
23A4	2L	2746880	2753068
23A5	2L	2759924	2771776
23A6	2L	2772327	2799979
23B1	2L	2772327	2812376
23B2	2L	2805261	2830248
23B3	2L	2815970	2839547
23B4	2L	2840025	2847212
23B5	2L	2845926	2857029
23B6	2L	2856070	2868548
23B7	2L	2857164	2874489
23B8	2L	2868627	2877168
23C1	2L	2874890	2987723
23C3	2L	2885929	2972508
23C4	2L	2969773	3030903
23C5	2L	3029253	3068177
23D1	2L	3056598	3144786
23D2	2L	3068345	3145848
23D3	2L	3144953	3159643
23D4	2L	3159950	3200496
23D6	2L	3210515	3211156
23E1	2L	3260973	3303130
23E2	2L	2979562	2987723
23E3	2L	3294926	3323141
23E4	2L	3320245	3354829
23E5	2L	3334875	3373372
23E6	2L	3358640	3373372
23F1	2L	3373567	3426719
23F3	2L	3445992	3491071
23F6	2L	3478434	3527588
24A1	2L	3525131	3621573
24A2	2L	3619097	3656953
24A3	2L	3636967	3637073
24A4	2L	3622074	3656953
24A5	2L	3662745	3692114
24B1	2L	3662745	3693905
24B2	2L	3694105	3695411
24B3	2L	3695032	3699092
24C1	2L	3698451	3729145
24C2	2L	3718185	3754617
24C3	2L	3730466	3784121
24C4	2L	3771700	3802726
24C5	2L	3787167	3818534
24C6	2L	3825675	3827099
24C7	2L	3836840	3857172
24C8	2L	3861405	3902860
24C9	2L	3872646	3991713
24D1	2L	3902928	3991713
24D2	2L	4000018	4000806
24D3	2L	4001084	4009090
24D4	2L	4031377	4115749
24D5	2L	4074279	4086005
24D6	2L	4031377	4151203
24D7	2L	4164689	4166134
24D8	2L	4185268	4227097
24E1	2L	4224650	4380716
24E4	2L	4361925	4392778
24E5	2L	4388327	4400487
24F1	2L	4386182	4441282
24F2	2L	4418977	4448635
24F3	2L	4446670	4465075
24F4	2L	4463611	4614300
24F8	2L	4457186	4458364
25A1	2L	4477462	4614300
25A2	2L	4619587	4652892
25A3	2L	4682677	4722465
25A4	2L	4732413	4794044
25A6	2L	4734592	4818245
25A7	2L	4815613	4828945
25A8	2L	4821774	4847295
25B1	2L	4841482	4968935
25B2	2L	4892112	4906762
25B3	2L	4903865	4932384
25B4	2L	4933047	4965430
25B5	2L	4958411	4992702
25B9	2L	4981614	5009720
25B10	2L	5009931	5010834
25C1	2L	4992808	5051062
25C3	2L	5047818	5070750
25C4	2L	5060815	5093592
25C6	2L	5072170	5207002
25C9	2L	5187778	5193516
25C10	2L	5196035	5215081
25D1	2L	5212395	5271384
25D2	2L	5219000	5278548
25D3	2L	5271728	5283283
25D4	2L	5287447	5311223
25D5	2L	5288944	5326683
25D6	2L	5315290	5365760
25D7	2L	5346200	5365760
25E1	2L	5379095	5416593
25E2	2L	5431842	5467610
25E3	2L	5486905	5487191
25E5	2L	5517737	5539196
25E6	2L	5536850	5565766
25F1	2L	5579580	5658560
25F2	2L	5626291	5679499
25F3	2L	5690529	5762420
25F4	2L	5724656	5800253
25F5	2L	5767002	5856767
26A1	2L	5824004	5939261
26A2	2L	5925937	5942584
26A3	2L	5941995	5960340
26A4	2L	5963087	5969761
26A5	2L	5968566	5981018
26B2	2L	5972115	6019402
26B3	2L	6013059	6060169
26B4	2L	6054302	6080128
26B5	2L	6082603	6124653
26B7	2L	6100377	6130651
26B8	2L	6127872	6155141
26B9	2L	6153840	6161309
26B11	2L	6179133	6232160
26C1	2L	6253123	6323466
26C2	2L	6253123	6332789
26C3	2L	6323767	6361385
26C4	2L	6367882	6411326
26D1	2L	6377771	6448403
26D4	2L	6426724	6455929
26D5	2L	6448464	6465669
26D7	2L	6459015	6480575
26D8	2L	6477182	6487576
26D9	2L	6480929	6526996
26D11	2L	6507424	6508404
26E1	2L	6498647	6546976
26E2	2L	6527447	6546976
26E3	2L	6551854	6601068
26F1	2L	6568400	6621700
26F2	2L	6619080	6619446
26F3	2L	6617134	6654574
26F5	2L	6649388	6662033
26F6	2L	6658517	6674780
26F7	2L	6663664	6709086
27A1	2L	6686791	6732766
27A2	2L	6723903	6756133
27B1	2L	6742502	6798862
27B2	2L	6789770	6800894
27B3	2L	6799946	6813110
27B4	2L	6821934	6838995
27C1	2L	6852315	6906656
27C3	2L	6902062	6902152
27C4	2L	6874900	6942814
27C6	2L	6932545	6950207
27C7	2L	6950421	7223081
27D1	2L	6968711	7010359
27D2	2L	6985961	7223081
27D3	2L	6972828	7010359
27D4	2L	7012262	7028959
27D5	2L	7027526	7037878
27D6	2L	7037823	7056010
27D7	2L	7056301	7069546
27E1	2L	7067983	7157695
27E2	2L	7098188	7157695
27E3	2L	7174368	7178171
27E4	2L	7182234	7220033
27E5	2L	7204538	7249343
27E6	2L	7223328	7249343
27E7	2L	7250607	7277171
27E8	2L	7255419	7277171
27F1	2L	7307159	7352542
27F2	2L	7333714	7377528
27F3	2L	7363379	7422736
27F4	2L	7412417	7445882
28A1	2L	7437492	7496307
28A4	2L	7472513	7497365
28A5	2L	7519679	7520082
28B1	2L	7497805	7578980
28B2	2L	7497805	7578980
